name,ticker,market,sector
Riyad Bank,1010,TADAWUL,Finance
Bank Aljazira,1020,TADAWUL,Finance
Saudi Investment Bank,1030,TADAWUL,Finance
Banque Saudi Fransi,1050,TADAWUL,Finance
Saudi Awwal Bank,1060,TADAWUL,Finance
Arab National Bank,1080,TADAWUL,Finance
Saudi Tadawul Group Holding Company,1111,TADAWUL,Finance
Al Rajhi Bank,1120,TADAWUL,Finance
Bank Albilad,1140,TADAWUL,Finance
Alinma Bank,1150,TADAWUL,Finance
Saudi National Bank,1180,TADAWUL,Finance
Amlak International for Real Estate Finance Company,1182,TADAWUL,Finance
SHL Finance Co.,1183,TADAWUL,Finance
Takween Advanced Industries Co.,1201,TADAWUL,Process industries
Middle East Paper Co.,1202,TADAWUL,Process industries
Basic Chemical Industries Co.,1210,TADAWUL,Process industries
Saudi Arabian Mining Co.,1211,TADAWUL,Non-energy minerals
Astra Industrial Group,1212,TADAWUL,Health technology
Naseej International Trading Co.,1213,TADAWUL,Consumer durables
Al Hassan Ghazi Ibrahim Shaker Co.,1214,TADAWUL,Distribution services
United Wire Factories Co.,1301,TADAWUL,Producer manufacturing
Bawan Co.,1302,TADAWUL,Non-energy minerals
Electrical Industries Co.,1303,TADAWUL,Producer manufacturing
Al Yamamah Steel Industries Co.,1304,TADAWUL,Producer manufacturing
Saudi Steel Pipe Co.,1320,TADAWUL,Non-energy minerals
East Pipes Integrated Company for Industry,1321,TADAWUL,Non-energy minerals
Al Masane Al Kobra Mining Co.,1322,TADAWUL,Non-energy minerals
United Carton Industries Company,1323,TADAWUL,Process industries
Seera Holding Group,1810,TADAWUL,Finance
BAAN Holding Group Company,1820,TADAWUL,Consumer services
Leejam Sports Co.,1830,TADAWUL,Consumer services
Maharah Human Resources Co.,1831,TADAWUL,Commercial services
Sadr Logistics Co.,1832,TADAWUL,Producer manufacturing
Almawarid Manpower Company,1833,TADAWUL,Commercial services
Saudi Manpower Solutions Company,1834,TADAWUL,Commercial services
Tamkeen Human Resources Company,1835,TADAWUL,Commercial services
Methanol Chemicals Co.,2001,TADAWUL,Process industries
Saudi Basic Industries Corp.,2010,TADAWUL,Process industries
SABIC Agri-Nutrients Co.,2020,TADAWUL,Process industries
Saudi Arabia Refineries Co.,2030,TADAWUL,Finance
